subtopic,usage_count,total_usage,cumulative_usage,cumulative_percentage
great-location,156630,4183374,156630,3.74
friendly-staff,125476,4183374,282106,6.74
poor-condition,122181,4183374,404287,9.66
delicious-breakfast,113931,4183374,518218,12.39
helpful-personnel,86032,4183374,604250,14.44
helpful-service,81956,4183374,686206,16.40
positive-comment,72452,4183374,758658,18.14
disappointing-stay,69580,4183374,828238,19.80
helpful-staff,67356,4183374,895594,21.41
clean-sheet,60417,4183374,956011,22.85
delicious-food,59066,4183374,1015077,24.26
great-facility,57684,4183374,1072761,25.64
friendly-manager,55511,4183374,1128272,26.97
comfortable-accommodation,50490,4183374,1178762,28.18
great-experience,49683,4183374,1228445,29.36
friendly-reception,47217,4183374,1275662,30.49
great-accommodation,46600,4183374,1322262,31.61
great-standard,46213,4183374,1368475,32.71
poor-cleanliness,45768,4183374,1414243,33.81
comfortable-bed,44829,4183374,1459072,34.88
friendly-server,42993,4183374,1502065,35.91
poor-maintenance,40153,4183374,1542218,36.87
delicious-restaurant,40058,4183374,1582276,37.82
positive-review,36474,4183374,1618750,38.69
expensive-price,33354,4183374,1652104,39.49
helpful-concierge,33069,4183374,1685173,40.28
noisy-hotel,33031,4183374,1718204,41.07
happy-guest,32539,4183374,1750743,41.85
poor-housekeeping,31488,4183374,1782231,42.60
poor-amenity,30645,4183374,1812876,43.34
limited-menu,29671,4183374,1842547,44.04
bad-meal,27205,4183374,1869752,44.69
helpful-desk,26883,4183374,1896635,45.34
clean-hotel,26153,4183374,1922788,45.96
helpful-reception,26053,4183374,1948841,46.59
limited-breakfast,26037,4183374,1974878,47.21
dirty-bathroom,25111,4183374,1999989,47.81
friendly-service,24880,4183374,2024869,48.40
exceptional-service,24368,4183374,2049237,48.99
poor-breakfast,23617,4183374,2072854,49.55
great-value,23587,4183374,2096441,50.11
convenient-location,22801,4183374,2119242,50.66
great-view,21611,4183374,2140853,51.18
great-pool,21478,4183374,2162331,51.69
poor-attention,21030,4183374,2183361,52.19
difficult-distance,20772,4183374,2204133,52.69
disappointing-experience,20585,4183374,2224718,53.18
memorable-stay,20010,4183374,2244728,53.66
slow-waiter,19032,4183374,2263760,54.11
disappointing-surprise,18757,4183374,2282517,54.56
poor-communication,18038,4183374,2300555,54.99
poor-accommodation,17820,4183374,2318375,55.42
unhelpful-staff,16890,4183374,2335265,55.82
great-property,16724,4183374,2351989,56.22
unfair-rate,16722,4183374,2368711,56.62
friendly-personnel,16608,4183374,2385319,57.02
great-restaurant,16552,4183374,2401871,57.41
beautiful-view,15827,4183374,2417698,57.79
slow-service,15816,4183374,2433514,58.17
great-atmosphere,15681,4183374,2449195,58.55
poor-value,15537,4183374,2464732,58.92
dirty-shower,15312,4183374,2480044,59.28
exceptional-staff,15033,4183374,2495077,59.64
attentive-server,14557,4183374,2509634,59.99
dirty-environment,13911,4183374,2523545,60.32
rude-reception,13503,4183374,2537048,60.65
bad-condition,13252,4183374,2550300,60.96
weak-wifi,13211,4183374,2563511,61.28
great-hospitality,13126,4183374,2576637,61.59
convenient-distance,13027,4183374,2589664,61.90
friendly-employee,12951,4183374,2602615,62.21
great-cleanliness,12616,4183374,2615231,62.51
amazing-experience,12605,4183374,2627836,62.82
uncomfortable-bed,12319,4183374,2640155,63.11
breakfast-standard,12275,4183374,2652430,63.40
slow-reception,12095,4183374,2664525,63.69
bad-breakfast,11832,4183374,2676357,63.98
ongoing-renovation,11821,4183374,2688178,64.26
free-breakfast,11736,4183374,2699914,64.54
bad-food,11712,4183374,2711626,64.82
beautiful-property,11696,4183374,2723322,65.10
great-attention,11427,4183374,2734749,65.37
beautiful-setting,11391,4183374,2746140,65.64
clean-accommodation,11276,4183374,2757416,65.91
poor-menu,11249,4183374,2768665,66.18
great-recommendation,11070,4183374,2779735,66.45
attentive-waiter,11058,4183374,2790793,66.71
delicious-buffet,10957,4183374,2801750,66.97
bad-smell,10951,4183374,2812701,67.24
unhelpful-service,10916,4183374,2823617,67.50
comfortable-stay,10746,4183374,2834363,67.75
helpful-employee,10691,4183374,2845054,68.01
helpful-suggestion,10641,4183374,2855695,68.26
clean-bedroom,10621,4183374,2866316,68.52
poor-management,10415,4183374,2876731,68.77
poor-hospitality,10326,4183374,2887057,69.01
air-unconditioned,10306,4183374,2897363,69.26
small-bedroom,10200,4183374,2907563,69.50
limited-restaurant,10058,4183374,2917621,69.74
room-unprepared,9995,4183374,2927616,69.98
poor-light,9926,4183374,2937542,70.22
beautiful-location,9848,4183374,2947390,70.45
slow-elevator,9808,4183374,2957198,70.69
poor-cuisine,9674,4183374,2966872,70.92
unmet-expectation,9570,4183374,2976442,71.15
great-stay,9404,4183374,2985846,71.37
great-team,9333,4183374,2995179,71.60
rude-customer,9232,4183374,3004411,71.82
poor-feature,9223,4183374,3013634,72.04
poor-facility,9191,4183374,3022825,72.26
beautiful-resort,9185,4183374,3032010,72.48
great-activity,9165,4183374,3041175,72.70
dirty-pool,9132,4183374,3050307,72.91
clean-environment,8762,4183374,3059069,73.12
beautiful-beach,8672,4183374,3067741,73.33
noisy-unit,8633,4183374,3076374,73.54
great-meal,8468,4183374,3084842,73.74
musty-smell,8287,4183374,3093129,73.94
dirty-towel,8270,4183374,3101399,74.14
cold-shower,8149,4183374,3109548,74.33
small-bathroom,7921,4183374,3117469,74.52
noisy-location,7742,4183374,3125211,74.71
rude-staff,7696,4183374,3132907,74.89
old-hotel,7676,4183374,3140583,75.07
bad-attitude,7572,4183374,3148155,75.25
great-shower,7524,4183374,3155679,75.43
disorganized-fiesta,7413,4183374,3163092,75.61
delicious-meal,7349,4183374,3170441,75.79
great-resort,7147,4183374,3177588,75.96
hard-bed,7136,4183374,3184724,76.13
negative-comment,7135,4183374,3191859,76.30
expensive-parking,7117,4183374,3198976,76.47
friendly-restaurant,7115,4183374,3206091,76.64
quiet-location,7102,4183374,3213193,76.81
friendly-waiter,7076,4183374,3220269,76.98
affordable-price,7065,4183374,3227334,77.15
poor-experience,7002,4183374,3234336,77.31
helpful-comment,6899,4183374,3241235,77.48
great-entertainment,6863,4183374,3248098,77.64
unavailable-perk,6860,4183374,3254958,77.81
noisy-environment,6837,4183374,3261795,77.97
dirty-sheet,6836,4183374,3268631,78.13
slow-check,6834,4183374,3275465,78.30
limited-parking,6744,4183374,3282209,78.46
poor-cleaning,6574,4183374,3288783,78.62
clean-hostel,6562,4183374,3295345,78.77
bad-restaurant,6496,4183374,3301841,78.93
old-tv,6470,4183374,3308311,79.08
beautiful-pool,6421,4183374,3314732,79.24
poor-lighting,6366,4183374,3321098,79.39
unhelpful-personnel,6209,4183374,3327307,79.54
bad-staff,6183,4183374,3333490,79.68
great-price,6168,4183374,3339658,79.83
excellent-care,6082,4183374,3345740,79.98
